bfs,1_Alte_TT,2_Fam_TT,3_Rest_TT,11_Alleine_A,12_Paar_beide_alt_AA,13_Paar_eine_alt_AE,21_Allein_klKinder,22_Paar_klKinder
1,27,16.6,56.4,9.8,9.9,7.3,1.4,15.2
2,27.6,18.4,54,12.5,10.1,4.9,1.7,16.7
3,26.1,23,50.8,9.8,11.3,5,2.6,20.4
4,28.9,19.8,51.3,10.8,11.1,7.1,1.4,18.4
5,26.8,18.4,54.8,10.5,10.6,5.7,1.2,17.2
6,23.3,22.9,53.8,9.3,8.5,5.5,1.2,21.7
7,24.3,25.2,50.5,8.7,9.5,6,1.2,24
8,30.8,20.5,48.7,11.7,9.9,9.2,1.1,19.4
9,28.1,21.7,50.2,9.4,12,6.7,2.1,19.6
10,26.6,22,51.4,10.3,10.8,5.4,1.8,20.2
11,32.7,17,50.3,11.6,13.5,7.7,1.6,15.4
12,27.2,24.1,48.7,9.4,10.7,7,1.8,22.4
13,25.4,22.9,51.7,8.3,10.6,6.5,1.4,21.5
14,31.1,23.2,45.7,11.4,14,5.7,1.7,21.6
21,29.7,22.1,48.2,9.1,12.7,8,1.1,21
22,26.3,16.9,56.8,10.2,8.6,7.5,1.4,15.5
23,33.2,13.1,53.7,10,17.4,5.8,0,13.1
24,25.7,23.1,51.2,8.7,10.5,6.4,2.1,21.1
25,31.4,17.1,51.5,11.1,15.4,4.8,0.5,16.6
26,24.8,17.4,57.8,6.6,14,4.3,0,17.4
27,25.4,17.3,57.3,11.6,9.2,4.6,0.7,16.6
28,26.4,17.5,56.1,9.6,11.7,5.1,0.5,17
29,27.6,18.8,53.6,11.2,10.9,5.5,1.6,17.2
30,30.1,22.2,47.7,12.8,12,5.3,2.4,19.8
31,33.5,18.2,48.3,11.2,15.7,6.5,1.2,17
32,33,22.3,44.7,10.1,18.1,4.8,0.5,21.8
33,27.9,19.3,52.9,9.9,12,6,1.6,17.7
34,31.3,15.4,53.3,11.3,13.2,6.8,1,14.4
35,27.8,16.9,55.3,11.1,10.3,6.4,1.7,15.3
37,27.3,17.4,55.3,10.2,10.6,6.4,1.1,16.2
38,30.3,14.2,55.4,12.9,11.2,6.3,1.7,12.5
39,25.2,18.7,56.1,8.1,11.2,6,1.3,17.4
40,35.3,14.4,50.3,10.5,15.1,9.7,1.7,12.7
41,25.7,16.9,57.4,8.7,10.4,6.6,2.2,14.8
43,18.7,21.9,59.4,7.1,6.5,5.2,2.6,19.4
51,31.1,19.1,49.9,11.2,12.6,7.2,2,17
52,25.3,19.5,55.2,9.3,10.1,5.9,2.1,17.4
53,24.8,19.2,56,10.9,9.2,4.7,2,17.1
54,30.2,18.5,51.3,12.6,11.8,5.8,1.6,16.9
55,27,22.3,50.7,9.7,11.1,6.2,1.8,20.5
56,26,19.7,54.4,9.9,9.8,6.2,2,17.6
57,29,17.7,53.3,8.3,12.6,8.1,1,16.7
58,23.3,22.1,54.5,8.8,8.7,5.8,2.7,19.4
59,26.2,21.9,51.8,8.7,11,6.6,2,19.9
60,23.6,19.8,56.6,8.7,8.4,6.5,1.4,18.4
61,30.1,18.5,51.4,10.7,11.9,7.5,2.1,16.4
62,23.7,16.5,59.8,11,7.4,5.3,1.9,14.6
63,20.2,23.1,56.7,6.6,7.5,6.1,1.7,21.4
64,32.4,16.9,50.7,12.5,12.8,7.2,2,14.9
65,28.9,14.3,56.8,8.5,12,8.5,1,13.2
66,17.8,20,62.2,8.3,5,4.5,1.8,18.2
67,27,19.2,53.8,10,11.2,5.8,1.7,17.5
